,Title,BodyPart,Equipment,Level,url
589,MetaBurn Side Crawler,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Vk9d6KLJXu4
590,MetaBurn Side Plank Oblique Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=3V_tdAcOmaY
591,MetaBurn Sit-Through,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=o3ZkKUan_ME
592,MetaBurn Sit-Up To V-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=iP2fjvG0g3w
593,MetaBurn Sit-Up With Rotation,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=zb483wfM_u8
594,MetaBurn Split-Leg Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=4SX60vkcJFc
595,MetaBurn Tabletop Hip Thrust,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Q0HXW1UmyRo
596,MetaBurn Tabletop With Russian Kick,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=8r1o5hZ4e5Y
597,MetaBurn Toe Driver Abs,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=40XsUZqD_x0
598,MetaBurn-V-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=xVaYz0oRtNI
599,X-body V-up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=tDOmi7IMXn8
600,MetaBurn Swivel Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=wbYYFXoADM0
601,Robertson Core-Engaged Dead Bug,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=LvZrFSWBuQk
602,FYR2 Double-Under,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=9FLc4h5mhrk
603,FYR2 Fire Feet with Burpee Tuck Jump Drill,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=pMUGO2h2j0c
604,FYR2 Flutter Kick,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=OEzOWZYSjPI
605,FYR2 Half-Moon,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=BN7KQT3oV6k
606,FYR2 Leopard Crawl,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=949uGYnN7tQ
607,FYR2 Plank Alternating Front Step,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=MzGmSbbelLM
608,FYR2 Shoulder Tap,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=LEZq7QZ8ySQ
609,Hand shift plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=_ldgUtzgpLQ
610,Cross-body plank march,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Uw83y7v63W8
611,Bent-knee Copenhagen hip adduction,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=kD1t1hWzIDE
612,Copenhagen plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=kD1t1hWzIDE
613,ACFT Hanging leg tuck,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=1Ne6yv2yzRo
614,Alternating hanging knee raise,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=E1q-EszVizU
615,Plank To Sphinx,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=CiZT_pLVqG4
616,Twisting Mountain Climbers,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=hLgt8ztuQ-c
617,Jack Knives,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=XLEnT0fKEQU
618,Hanging Leg Raises,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=RuIdJSVTKO4
619,Dumbbell suitcase crunch,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=MQS-tqU1UYI
620,Medicine ball rotational throw,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=DttZ5JU-b_U
621,Hollow-hold ball toss,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=AJQouEalsdk
622,Partner front Russian twist and pass,Abdominals,Medicine Ball,Beginner,https://www.youtube.com/watch?v=7XTd21ZqXx4
623,Sit-up with single-arm overhand throw,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=UQy0HHaA_TU
624,Medicine ball partner twist,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=HzZyZ5PHIiM
625,Partner side Russian twist and pass,Abdominals,Medicine Ball,Beginner,https://www.youtube.com/watch?v=iAEtBOLvG-g
626,Medicine ball half moon,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=gYORVMVpAdg
627,Exercise ball roll-out,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=zeSD85M2t6c
628,Medicine ball pass,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=FUdcjZ0weic
